,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,cargo_volumn,price
0,bangalore,Petrol,Hatchback,120000,Manual,3,Maruti Celerio,2015,White,235,400000
1,bangalore,Petrol,SUV,32706,Manual,2,Ford Ecosport,2018,White,352,811000
2,bangalore,Petrol,Hatchback,11949,Manual,1,Tata Tiago,2018,Red,242,585000
3,bangalore,Petrol,Sedan,17794,Manual,1,Hyundai Xcent,2014,Others,407,462000
4,bangalore,Diesel,SUV,60000,Manual,1,Maruti SX4 S Cross,2015,Gray,353,790000
5,bangalore,Diesel,SUV,20000,Manual,1,Jeep Compass,2020,Others,408,1900000
6,bangalore,Petrol,Hatchback,37772,Manual,1,Datsun GO,2017,Grey,265,345000
7,bangalore,Petrol,SUV,30000,Automatic,1,Hyundai Venue,2021,Others,350,1200000
8,bangalore,Petrol,Sedan,37000,Automatic,1,Maruti Ciaz,2018,Maroon,510,960000
9,bangalore,Petrol,Hatchback,11949,Manual,1,Tata Tiago,2017,Red,242,585000
10,bangalore,Petrol,Hatchback,50000,Manual,1,Maruti Baleno,2018,Red,339,690000
11,bangalore,Petrol,Hatchback,24887,Automatic,1,Hyundai Grand i10,2019,Orange,256,682000
12,bangalore,Petrol,Hatchback,23000,Automatic,1,Honda Jazz,2018,Grey,354,825000
13,bangalore,Petrol,Hatchback,48928,Automatic,1,Tata Tiago,2018,Red,242,595000
14,bangalore,Diesel,SUV,108862,Manual,3,Mahindra XUV500,2014,Silver,361,690000
15,bangalore,Diesel,SUV,80000,Manual,1,Jeep Compass,2018,Others,408,1350000
16,bangalore,Diesel,SUV,16000,Automatic,1,Mercedes-Benz GLA,2022,Blue,361,5595000
17,bangalore,Diesel,Hatchback,65376,Manual,2,Hyundai i20,2014,Blue,361,521000
18,bangalore,Petrol,SUV,10000,Manual,1,Tata Nexon,2022,Others,350,1005000
19,bangalore,Petrol,Sedan,67000,Manual,2,Honda City,2016,Brown,510,775000
20,bangalore,Diesel,Sedan,100000,Automatic,3,BMW 5 Series,2011,White,520,2200000
21,bangalore,Petrol,Hatchback,18083,Manual,1,Maruti Swift,2016,Silver,268,582000
22,bangalore,Petrol,SUV,30000,Manual,1,Renault Duster,2020,Others,475,1090000
23,bangalore,Petrol,Hatchback,57634,Manual,2,Tata Tiago,2016,Silver,242,457000
24,bangalore,Petrol,Sedan,50000,Automatic,2,Mercedes-Benz S-Class,2016,Others,530,4900000
25,bangalore,Petrol,Sedan,110000,Manual,1,Honda City,2015,Others,510,550000
26,bangalore,Petrol,Hatchback,23447,Automatic,1,Hyundai Santro,2018,Yellow,235,570000
27,bangalore,Lpg,Hatchback,30000,Manual,2,Hyundai Santro Xing,2009,Others,361,220000
28,bangalore,Petrol,Sedan,33000,Automatic,1,Mercedes-Benz E-Class,2017,White,540,4145000
29,bangalore,Diesel,SUV,87667,Manual,2,Mahindra XUV500,2014,Black,361,861000
30,bangalore,Diesel,Sedan,40000,Automatic,2,Audi A4,2016,Others,480,1785000
31,bangalore,Diesel,SUV,79012,Manual,2,Mahindra XUV500,2014,Silver,361,802999
32,bangalore,Diesel,SUV,31344,Manual,1,Jeep Compass,2021,Black,361,2565000
33,bangalore,Petrol,Sedan,50000,Manual,1,Hyundai Xcent,2018,Others,407,674000
34,bangalore,Petrol,Hatchback,12434,Manual,1,Maruti Wagon R,2015,Brown,180,349000
35,bangalore,Petrol,MUV,60000,Manual,2,Maruti Ertiga,2019,Others,209,1050000
36,bangalore,Diesel,Sedan,12000,Automatic,1,Mercedes-Benz C-Class,2019,White,480,4425000
37,bangalore,Petrol,Hatchback,40987,Manual,2,Maruti Wagon R,2015,White,180,405999
38,bangalore,Petrol,Sedan,18157,Automatic,1,BMW 5 Series,2020,Blue,520,4965000
39,bangalore,Diesel,SUV,120000,Manual,3,Toyota Fortuner,2011,Others,361,1100000
40,bangalore,Diesel,SUV,40000,Automatic,2,Renault Duster,2020,Others,475,1100000
41,bangalore,Petrol,Hatchback,89667,Manual,1,Hyundai i20,2016,White,295,594000
42,bangalore,Diesel,Hatchback,120000,Manual,1,Hyundai i20,2017,Others,295,710000
43,bangalore,Petrol,Hatchback,56997,Manual,1,Maruti Baleno,2017,Blue,339,692000
44,bangalore,Petrol,Sedan,120000,Manual,1,Hyundai Elantra,2013,Others,420,650000
45,bangalore,Diesel,Sedan,59000,Automatic,1,Audi A6,2015,White,530,2089999
46,bangalore,Petrol,Hatchback,18835,Manual,1,Maruti Alto 800,2021,Silver,361,411000
47,bangalore,Diesel,SUV,120000,Manual,2,Mahindra Scorpio,2010,Gray,361,650000
48,bangalore,Petrol,Hatchback,40000,Automatic,1,Mini 3 DOOR,2016,White,211,3675000
49,bangalore,Petrol,Hatchback,60932,Manual,1,Tata Tiago,2019,Red,242,610000
50,bangalore,Petrol,SUV,33539,Automatic,2,Kia Seltos,2020,White,433,1675000
51,bangalore,Petrol,Hatchback,66837,Manual,2,Tata Tiago,2018,Brown,242,530000
52,bangalore,Diesel,Sedan,400,Automatic,1,Mercedes-Benz E-Class,2022,White,361,7990000
53,bangalore,Petrol,Hatchback,60000,Manual,2,Maruti Alto,2008,Others,361,250000
54,bangalore,Petrol,Hatchback,44285,Manual,1,Hyundai i20,2019,Grey,285,715000
55,bangalore,Diesel,SUV,100000,Automatic,2,Mercedes-Benz GL-Class,2014,Others,680,3500000
56,bangalore,Diesel,SUV,25000,Automatic,1,Tata New Safari,2021,White,73,2250000
57,bangalore,Petrol,Hatchback,36735,Manual,1,Hyundai Grand i10,2018,Blue,256,625000
58,bangalore,Diesel,SUV,79000,Automatic,1,Audi Q7,2015,White,330,2695000
59,bangalore,Diesel,SUV,120000,Manual,2,Mahindra Scorpio,2010,Gray,361,650000
60,bangalore,Petrol,Hatchback,10000,Automatic,1,Renault KWID,2022,Others,279,550000
61,bangalore,Diesel,SUV,53645,Manual,1,Tata Nexon,2018,White,350,825000
62,bangalore,Petrol,Hatchback,100000,Manual,2,Hyundai Getz,2006,Others,361,220000
63,bangalore,Petrol,Hatchback,53982,Automatic,1,Maruti Celerio,2014,Others,313,428000
64,bangalore,Diesel,Sedan,110000,Manual,1,Skoda Rapid,2014,Black,460,695000
65,bangalore,Petrol,SUV,37741,Manual,2,Ford Ecosport,2019,White,352,930000
66,bangalore,Petrol,Hatchback,17367,Manual,1,Maruti Alto 800,2021,Silver,361,455000
67,bangalore,Diesel,SUV,94000,Manual,1,Hyundai Creta,2017,Grey,400,1195000
68,bangalore,Diesel,SUV,33700,Automatic,1,Tata Harrier,2021,Grey,425,2175000
69,bangalore,Petrol,Hatchback,54601,Manual,3,Maruti Swift,2014,White,268,442000
70,bangalore,Diesel,Hatchback,110000,Manual,1,Maruti Swift,2018,Others,268,690000
71,bangalore,Petrol,Hatchback,64000,Manual,2,Maruti Celerio,2017,Red,235,500000
72,bangalore,Diesel,Sedan,40525,Automatic,1,BMW 3 Series GT,2016,White,520,3395000
73,bangalore,Diesel,Sedan,100000,Manual,1,Maruti Ciaz,2015,White,510,650000
74,bangalore,Petrol,Hatchback,44154,Automatic,2,Honda Jazz,2016,White,354,537000
75,bangalore,Diesel,MUV,70000,Manual,1,Renault Lodgy,2016,White,207,750000
76,bangalore,Petrol,Sedan,79000,Automatic,1,Skoda Octavia,2018,White,590,1789999
77,bangalore,Petrol,Hatchback,68039,Manual,2,Tata Tiago,2017,Orange,242,468000
78,bangalore,Petrol,Hatchback,60000,Manual,2,Maruti Ritz,2014,Silver,236,420000
79,bangalore,Petrol,Hatchback,60000,Manual,2,Maruti Ritz,2014,Silver,236,420000
80,bangalore,Petrol,Hatchback,10000,Manual,1,Hyundai i20,2021,Others,311,919999
81,bangalore,Petrol,Sedan,49873,Manual,1,Honda City,2013,Yellow,506,533000
82,bangalore,Petrol,Hatchback,90000,Automatic,3,Volkswagen Polo,2013,Others,361,850000
83,bangalore,Diesel,Sedan,48960,Manual,2,Skoda Rapid,2017,Silver,460,751000
84,bangalore,Diesel,Hatchback,70000,Manual,2,Hyundai Grand i10,2014,Others,256,388000
85,bangalore,Petrol,Hatchback,68000,Manual,2,Hyundai i20,2013,Silver,361,490000
86,bangalore,Diesel,SUV,23017,Manual,1,Mahindra KUV 100,2016,Orange,243,494000
87,bangalore,Diesel,Hatchback,83000,Manual,2,Hyundai i20,2013,Brown,361,525000
88,bangalore,Diesel,SUV,92000,Automatic,2,BMW X3,2016,White,361,2890000
89,bangalore,Petrol,Hatchback,62139,Manual,1,Maruti Wagon R,2018,Red,180,550000
90,bangalore,Lpg,Hatchback,74000,Manual,1,Hyundai i10,2013,Grey,225,365000
91,bangalore,Petrol,Hatchback,26500,Automatic,2,Renault KWID,2016,Red,300,420000
92,bangalore,Diesel,Sedan,81716,Automatic,1,Volvo S60,2017,Silver,380,1895000
93,bangalore,Diesel,Sedan,24000,Automatic,2,Mercedes-Benz E-Class,2018,White,540,5990000
94,bangalore,Petrol,SUV,10000,Automatic,1,Mahindra XUV300,2022,White,259,1050000
95,bangalore,Petrol,SUV,18000,Automatic,1,MG Hector Plus,2021,Black,155,2075000
96,bangalore,Petrol,Hatchback,38197,Manual,1,Honda Brio,2013,Others,175,394000
97,bangalore,Petrol,Hatchback,23000,Automatic,2,Maruti Baleno,2017,Grey,339,725000
98,bangalore,Petrol,Hatchback,50000,Manual,1,Maruti Alto K10,2013,Red,361,240000
99,bangalore,Petrol,SUV,10000,Automatic,1,Renault Kiger,2022,Others,405,835000
100,bangalore,Petrol,Hatchback,19000,Manual,1,Hyundai Grand i10,2019,Blue,256,695000
101,bangalore,Petrol,SUV,14000,Automatic,1,Kia Seltos,2020,White,433,1725000
102,bangalore,Petrol,Hatchback,29268,Manual,1,Hyundai EON,2014,White,215,330000
103,bangalore,Petrol,Sedan,20000,Automatic,1,Volkswagen Vento,2019,Others,494,990000
104,bangalore,Petrol,Sedan,30000,Manual,1,Toyota Yaris,2018,Others,476,750000
105,bangalore,Petrol,Hatchback,64374,Automatic,1,Honda Jazz,2018,Grey,354,755000
106,bangalore,Diesel,SUV,30000,Manual,1,MG Hector,2021,Others,587,1750000
107,bangalore,Petrol,SUV,7100,Automatic,1,Hyundai Alcazar,2022,White,361,2082999
108,bangalore,Petrol,Hatchback,43679,Manual,1,Hyundai i10,2010,Silver,361,271000
109,bangalore,Petrol,SUV,40000,Automatic,1,Hyundai Creta,2018,Others,400,1280000
110,bangalore,Diesel,Hatchback,40562,Manual,1,Hyundai i20,2012,Red,361,436000
111,bangalore,Petrol,SUV,26500,Automatic,2,Hyundai Creta,2021,White,361,1675000
112,bangalore,Petrol,SUV,20000,Automatic,1,Hyundai Venue,2019,Others,350,1250000
113,bangalore,Diesel,SUV,58600,Automatic,1,Mahindra XUV500,2016,Silver,720,1350000
114,bangalore,Petrol,SUV,20000,Automatic,1,Hyundai Venue,2019,Others,350,1250000
115,bangalore,Petrol,SUV,42050,Automatic,1,Volkswagen T-Roc,2020,White,445,2225000
116,bangalore,Petrol,Hatchback,65017,Automatic,1,Maruti Celerio,2015,White,235,475000
117,bangalore,Diesel,Sedan,80000,Automatic,2,BMW 3 Series,2008,Others,460,600000
118,bangalore,Petrol,SUV,30000,Automatic,1,Jeep Compass,2021,Others,361,2450000
119,bangalore,Petrol,SUV,20000,Automatic,1,Kia Seltos,2020,Others,433,1625000
120,bangalore,Diesel,Sedan,36349,Automatic,1,Skoda Superb,2014,White,565,1650000
121,bangalore,Petrol,Hatchback,80000,Manual,3,Hyundai i10,2009,Others,361,249000
122,bangalore,Petrol,SUV,83394,Manual,2,Renault Duster,2014,Red,475,630000
123,bangalore,Diesel,SUV,30000,Automatic,2,Audi Q5,2016,Others,540,2599000
124,bangalore,Petrol,Hatchback,80000,Manual,3,Hyundai i10,2009,Others,361,249000
125,bangalore,Petrol,Hatchback,52204,Manual,1,Maruti Alto K10,2017,Silver,214,385000
126,bangalore,Petrol,Hatchback,110000,Manual,3,Hyundai i20,2012,Red,295,300000
127,bangalore,Diesel,SUV,89000,Automatic,1,Ford Endeavour,2017,Black,361,2975000
128,bangalore,Petrol,Hatchback,29813,Manual,2,Maruti Alto 800,2014,Others,361,276000
129,bangalore,Petrol,Hatchback,30000,Manual,1,Ford Figo,2018,Gray,257,500000
130,bangalore,Petrol,Hatchback,13345,Automatic,1,Maruti Ignis,2020,White,260,730000
131,bangalore,Diesel,SUV,17100,Automatic,1,Hyundai Alcazar,2022,Grey,361,2245000
132,bangalore,Petrol,Hatchback,75000,Manual,1,Hyundai Grand i10,2014,Grey,256,399000
133,bangalore,Petrol,Hatchback,75523,Manual,2,Hyundai i10,2011,Red,361,312000
134,bangalore,Diesel,SUV,47000,Manual,1,Mahindra XUV500,2015,Silver,720,1275000
135,bangalore,Diesel,SUV,36500,Manual,1,Tata Harrier,2022,White,425,1989999
136,bangalore,Petrol,MUV,28253,Manual,1,Renault Triber,2020,Silver,84,719000
137,bangalore,Diesel,SUV,50000,Manual,1,Hyundai Creta,2016,White,400,1260000
138,bangalore,Petrol,Hatchback,90000,Manual,2,Hyundai i10,2010,Others,361,300000
139,bangalore,Diesel,SUV,70000,Automatic,2,BMW X5,2016,Others,650,3981000
140,bangalore,Petrol,Hatchback,52571,Manual,1,Hyundai i20,2016,Grey,295,627000
141,bangalore,Diesel,Sedan,70000,Automatic,2,BMW 3 Series,2010,Others,460,1300000
142,bangalore,Petrol,Sedan,61993,Manual,1,Honda City,2015,Silver,510,672000
143,bangalore,Diesel,SUV,57000,Automatic,1,Hyundai Tucson,2017,White,513,1825000
144,bangalore,Diesel,SUV,80000,Manual,2,Toyota Fortuner,2021,Others,361,3500000
145,bangalore,Petrol,Hatchback,36359,Manual,1,Hyundai i20,2013,Blue,361,440000
146,bangalore,Diesel,SUV,70000,Manual,2,Tata Harrier,2019,Others,425,1460000
147,bangalore,Petrol,SUV,7500,Automatic,1,MG Hector,2022,White,587,2041000
148,bangalore,Petrol,Sedan,30301,Automatic,1,Hyundai Verna,2017,Black,480,1033000
149,bangalore,Petrol,Hatchback,66000,Manual,1,Hyundai i10,2010,Golden,361,275000
150,bangalore,Petrol,Hatchback,56010,Manual,1,Hyundai i20,2017,White,295,676000
151,bangalore,Diesel,SUV,47000,Automatic,1,Mercedes-Benz GLC,2017,White,550,4290000
152,bangalore,Diesel,SUV,60000,Manual,2,Nissan Terrano,2014,Others,475,650000
153,bangalore,Diesel,Hatchback,83829,Manual,1,Maruti Swift,2014,Red,204,444000
154,bangalore,Petrol,Hatchback,10000,Automatic,1,Renault KWID,2020,Others,279,509999
155,bangalore,Diesel,SUV,35000,Automatic,2,Renault Duster,2016,Grey,475,925000
156,bangalore,Petrol,Sedan,51116,Automatic,2,Honda City,2019,White,510,1024000
157,bangalore,Diesel,Sedan,80000,Manual,3,Skoda Rapid,2016,Others,460,500000
158,bangalore,Petrol,Hatchback,40000,Automatic,2,Volkswagen Polo,2017,Others,280,994999
159,bangalore,Petrol,SUV,85565,Automatic,2,Honda CR-V,2012,White,361,935000
160,bangalore,Petrol,SUV,36916,Manual,1,Ford Ecosport,2018,Others,352,834000
161,bangalore,Diesel,Hatchback,90000,Manual,1,Volkswagen Polo,2015,Others,280,560000
162,bangalore,Petrol,Hatchback,112795,Manual,1,Maruti Swift,2012,Silver,268,454000
163,bangalore,Petrol,Sedan,11000,Automatic,1,Mercedes-Benz A-Class Limousine,2021,Silver,361,3690000
164,bangalore,Petrol,MUV,120000,Manual,2,Toyota Innova,2014,Others,361,1100000
165,bangalore,Petrol,Hatchback,36685,Manual,2,Honda Brio,2016,Red,175,462000
166,bangalore,Diesel,SUV,120000,Automatic,2,Hyundai Santa Fe,2012,Others,361,900000
167,bangalore,Petrol,Sedan,4000,Automatic,1,BMW 6 Series,2022,Blue,450,7900000
168,bangalore,Petrol,Hatchback,32184,Automatic,2,Maruti Baleno,2019,Silver,339,843000
169,bangalore,Petrol,Hatchback,32279,Manual,1,Maruti Baleno RS,2018,White,361,799000
170,bangalore,Petrol,Hatchback,59698,Manual,1,Hyundai i20,2015,White,295,576000
171,bangalore,Diesel,SUV,46071,Manual,1,Renault Captur,2018,Grey,392,949000
172,bangalore,Diesel,SUV,90000,Manual,1,Maruti Vitara Brezza,2017,Yellow,328,795000
173,bangalore,Petrol,SUV,9554,Manual,1,Hyundai Venue,2019,Blue,350,1085000
174,bangalore,Petrol,SUV,14000,Automatic,1,Jeep Compass,2022,Green,361,2590000
175,bangalore,Diesel,SUV,74499,Manual,2,Renault Duster,2013,Brown,475,516000
176,bangalore,Petrol,SUV,56211,Automatic,2,Ford Ecosport,2017,Grey,352,777000
177,bangalore,Petrol,Hatchback,9001,Manual,1,Honda Jazz,2019,White,354,753000
