,it,ft,bt,km,transmission,ownerno,owner,oem,model,modelyear,centralvariantid,variantname,price,priceactual,pricesaving,pricefixedtext,trendingtext,row_index,registration_year,insurance_validity,fuel_type,seats,kms_driven,rto,ownership,engine_displacement,transmission,year_of_manufacture,top_features,color,engine_type,displacement,max_power,max_torque,no_of_cylinder,values_per_cylinder,value_configuration,fuel_suppy_system,turbo_charger,super_charger,length,width,height,wheel_base,front_tread,rear_tread,kerb_weight,gear_box,drive_type,seating_capacity,steering_type,turning_radius,front_brake_type,rear_brake_type,top_speed,acceleration,tyre_type,alloy_wheel_size,no_door_numbers,cargo_volumn,gross_weight,borex_stroke,compression_ratio,ground_clearance_unladen,city
0,0,Diesel,Hatchback,"1,20,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2015,1487,Asta 1.4 CRDi,₹ 5.10 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",0,2015,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",RJ13,Second Owner,1396 cc,Manual,2015,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,U2 CRDI Diesel Engine,1396,88.73bhp@4000rpm,219.7Nm@1500-2750rpm,4.0,4.0,DOHC,CRDI,Yes,No,3985mm,1734mm,1505mm,2570mm,1505mm,1503mm,1515kg,6 Speed,FWD,5,Power,5.2 metres,Disc,Drum,180 Kmph,11.9 Seconds,Tubeless,16,5,295-litres,,,,,jaipur
1,0,Petrol,Hatchback,"66,951",Manual,1,1st Owner,Maruti,Maruti Swift,2012,10403,VXI,₹ 3.81 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",1,Jan 2012,Third Party,Petrol,5 Seats,"66,951 Kms",RJ14,First Owner,1197 cc,Manual,2012,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",White,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,3845mm,1735,1530,2450,1530,1530,875-905,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",,5,268,1335,,,,jaipur
2,0,Petrol,Hatchback,"80,000",Automatic,2,2nd Owner,Maruti,Maruti Celerio,2016,3982,VXI AT,₹ 3.20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",2,2016,Third Party insurance,Petrol,5 Seats,"80,000 Kms",RJ14,Second Owner,998 cc,Automatic,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,840kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",,5,235-litres,1250kg,73 X 82 mm,11.0:1,,jaipur
3,0,Petrol,Hatchback,"44,392",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5602,1.2 Kappa Magna BSIV,₹ 4.20 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",3,Apr 2017,Third Party insurance,Petrol,5 Seats,"44,392 Kms",RJ14,First Owner,1197 cc,Manual,2017,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Speakers Front",Silver,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1100,5 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,,5,256,,,,,jaipur
4,0,Petrol,Hatchback,"40,000",Automatic,1,1st Owner,Maruti,Maruti Wagon R,2016,4319,AMT VXI,₹ 3.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",4,2016,Third Party insurance,Petrol,5 Seats,"40,000 Kms",RJ14,First Owner,998 cc,Automatic,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",Silver,K10B Petrol Engine,998,67bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,890kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,,5,180-liters,1350kg,69 x 72 mm,,,jaipur
5,0,Diesel,Sedan,"1,50,000",Manual,2,2nd Owner,Hyundai,Hyundai Verna,2007,1796,CRDi,₹ 1.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",5,2007,Third Party insurance,Diesel,5 Seats,"1,50,000 Kms",,Second Owner,1493 cc,Manual,2007,"Remote Trunk Opener, Remote Fuel Lid Opener, Air Conditioner, Heater, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",Gray,In-Line Engine,1493,"110 @ 4,000 (PS@rpm)","24 @ 1,900-2,750 (kgm@rpm)",4.0,4.0,DOHC,CRDI,No,No,4310mm,1695mm,1490mm,2500mm,,,1173kg,5 Speed,FWD,5,Power,5.05 m,Ventilated Disc,Disc & Drum,185 kmph,11.2 seconds,"Tubeless,Radial",14,4,352 litres,1650kg,75 x 87 mm,17.8:1,,jaipur
6,0,Petrol,Sedan,"91,771",Manual,2,2nd Owner,Hyundai,Hyundai Xcent,2016,1861,1.2 Kappa S Celebration Edition,₹ 4.89 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",6,Jul 2016,Comprehensive,Petrol,5 Seats,"91,771 Kms",RJ32,Second Owner,1197 cc,Manual,2016,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",White,Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,Direct Injection,No,No,3995mm,1660mm,1520mm,2425mm,1479mm,1493mm,1100,5 Speed ,FWD ,5,Power,4.7 metres,Disc ,Drum,172 Kmph,14.2 Seconds,Tubeless,,4,407-litres,,,,,jaipur
7,0,Diesel,Sedan,"90,000",Automatic,1,1st Owner,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,₹ 4.25 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",7,2011,Third Party insurance,Diesel,5 Seats,"90,000 Kms",RJ14,First Owner,1968 cc,Automatic,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,4838mm,1817mm,1482mm,2761mm,,,1608kg,6 Speed,FWD,5,Power,5.4 metres,Disc,Disc,,,"Tubeless,Radial",16,4,565-litres,2124kg,,,,jaipur
8,0,Diesel,SUV,"58,621",Automatic,1,1st Owner,BMW,BMW X1,2014,345,sDrive20d,₹ 13.75 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",8,Sept 2014,Comprehensive,Diesel,5 Seats,"58,621 Kms",DL02,First Owner,1995 cc,Automatic,2014,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Brown,sDrive20d Diesel Engine,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,Yes,No,4477mm,2058mm,1545mm,2760mm,1501mm,1529mm,1485,8-Speed ,RWD,5,Power,5.8 metres,Ventilated Discs,Ventilated Discs,205 Kmph,7.9 Seconds,"Tubeless,Radial",17,5,420-litres,,,,,jaipur
9,0,Diesel,Sedan,"90,000",Automatic,1,1st Owner,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,₹ 4.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",9,2011,Third Party insurance,Diesel,5 Seats,"90,000 Kms",RJ14,First Owner,1968 cc,Automatic,2011,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,4838mm,1817mm,1482mm,2761mm,,,1608kg,6 Speed,FWD,5,Power,5.4 metres,Disc,Disc,,,"Tubeless,Radial",16,4,565-litres,2124kg,,,,jaipur
