,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,price
0,bangalore,Petrol,Hatchback,120000,Manual,3,Maruti Celerio,2015,White,400000
1,bangalore,Petrol,SUV,32706,Manual,2,Ford Ecosport,2018,White,811000
2,bangalore,Petrol,Hatchback,11949,Manual,1,Tata Tiago,2018,Red,585000
3,bangalore,Petrol,Sedan,17794,Manual,1,Hyundai Xcent,2014,Others,462000
4,bangalore,Diesel,SUV,60000,Manual,1,Maruti SX4 S Cross,2015,Gray,790000
5,bangalore,Petrol,Hatchback,37772,Manual,1,Datsun GO,2017,Grey,345000
6,bangalore,Petrol,SUV,30000,Automatic,1,Hyundai Venue,2021,Others,1200000
7,bangalore,Petrol,Sedan,37000,Automatic,1,Maruti Ciaz,2018,Maroon,960000
8,bangalore,Petrol,Hatchback,11949,Manual,1,Tata Tiago,2017,Red,585000
9,bangalore,Petrol,Hatchback,50000,Manual,1,Maruti Baleno,2018,Red,690000
10,bangalore,Petrol,Hatchback,24887,Automatic,1,Hyundai Grand i10,2019,Orange,682000
11,bangalore,Petrol,Hatchback,23000,Automatic,1,Honda Jazz,2018,Grey,825000
12,bangalore,Petrol,Hatchback,48928,Automatic,1,Tata Tiago,2018,Red,595000
13,bangalore,Diesel,SUV,108862,Manual,3,Mahindra XUV500,2014,Silver,690000
14,bangalore,Diesel,SUV,80000,Manual,1,Jeep Compass,2018,Others,1350000
15,bangalore,Diesel,Hatchback,65376,Manual,2,Hyundai i20,2014,Blue,521000
16,bangalore,Petrol,SUV,10000,Manual,1,Tata Nexon,2022,Others,1005000
17,bangalore,Petrol,Sedan,67000,Manual,2,Honda City,2016,Brown,775000
18,bangalore,Petrol,Hatchback,18083,Manual,1,Maruti Swift,2016,Silver,582000
19,bangalore,Petrol,SUV,30000,Manual,1,Renault Duster,2020,Others,1090000
20,bangalore,Petrol,Hatchback,57634,Manual,2,Tata Tiago,2016,Silver,457000
21,bangalore,Petrol,Sedan,110000,Manual,1,Honda City,2015,Others,550000
22,bangalore,Petrol,Hatchback,23447,Automatic,1,Hyundai Santro,2018,Yellow,570000
23,bangalore,Lpg,Hatchback,30000,Manual,2,Hyundai Santro Xing,2009,Others,220000
24,bangalore,Diesel,SUV,87667,Manual,2,Mahindra XUV500,2014,Black,861000
25,bangalore,Diesel,SUV,79012,Manual,2,Mahindra XUV500,2014,Silver,802999
26,bangalore,Petrol,Sedan,50000,Manual,1,Hyundai Xcent,2018,Others,674000
27,bangalore,Petrol,Hatchback,12434,Manual,1,Maruti Wagon R,2015,Brown,349000
28,bangalore,Petrol,MUV,60000,Manual,2,Maruti Ertiga,2019,Others,1050000
29,bangalore,Petrol,Hatchback,40987,Manual,2,Maruti Wagon R,2015,White,405999
30,bangalore,Diesel,SUV,120000,Manual,3,Toyota Fortuner,2011,Others,1100000
31,bangalore,Diesel,SUV,40000,Automatic,2,Renault Duster,2020,Others,1100000
32,bangalore,Petrol,Hatchback,89667,Manual,1,Hyundai i20,2016,White,594000
33,bangalore,Diesel,Hatchback,120000,Manual,1,Hyundai i20,2017,Others,710000
34,bangalore,Petrol,Hatchback,56997,Manual,1,Maruti Baleno,2017,Blue,692000
35,bangalore,Petrol,Sedan,120000,Manual,1,Hyundai Elantra,2013,Others,650000
36,bangalore,Petrol,Hatchback,18835,Manual,1,Maruti Alto 800,2021,Silver,411000
37,bangalore,Diesel,SUV,120000,Manual,2,Mahindra Scorpio,2010,Gray,650000
38,bangalore,Petrol,Hatchback,60932,Manual,1,Tata Tiago,2019,Red,610000
39,bangalore,Petrol,SUV,33539,Automatic,2,Kia Seltos,2020,White,1675000
40,bangalore,Petrol,Hatchback,66837,Manual,2,Tata Tiago,2018,Brown,530000
41,bangalore,Petrol,Hatchback,60000,Manual,2,Maruti Alto,2008,Others,250000
42,bangalore,Petrol,Hatchback,44285,Manual,1,Hyundai i20,2019,Grey,715000
